V_NO,MAKE,MODEL,COLOUR,BODY_TYPE,FUEL_TYPE,MMAF,MMA,MM,VEHICLE_TRIM,REGISTRATION_DATE,VEHICLE_SOURCE,TRANSMISSION_TYPE,CAP_CLEAN,VEHICLE_AGE__MONTHS,REGISTERED_KEEPERS,ODOMETER_MILES,ACTUAL_REFURB_COST
8429,TOYOTA,AYGO,RED,Hatchback,Petrol,TOYOTAAYGO3 Years OldPETROL,TOYOTAAYGO3 Years Old,TOYOTAAYGO,X-PLAY,02/09/2021,TradeZone,SEMI-AUTO,10350,38.7,2,9359,708.061
5533,VOLKSWAGEN,TIGUAN,WHITE,SUV,Diesel,VOLKSWAGENTIGUAN8 Years OldDIESEL,VOLKSWAGENTIGUAN8 Years Old,VOLKSWAGENTIGUAN,SE NAV,22/12/2016,TradeZone,SEMI-AUTO,10950,96.033333,2,76812,369.978
7424,AUDI,A1,YELLOW,Hatchback,Petrol,AUDIA15 Years OldPETROL,AUDIA15 Years Old,AUDIA1,S LINE COMPETITION,30/12/2019,TradeZone,SEMI-AUTO,18500,56.966667,1,15746,568.377
4708,VAUXHALL,MOKKA X,BLACK,SUV,Petrol,VAUXHALLMOKKA X5 Years OldPETROL,VAUXHALLMOKKA X5 Years Old,VAUXHALLMOKKA X,DESIGN NAV,31/03/2019,TradeZone,MANUAL,9350,62.1,1,21909,989.51
7577,VAUXHALL,CROSSLAND X,BLUE,SUV,Petrol,VAUXHALLCROSSLAND X6 Years OldPETROL,VAUXHALLCROSSLAND X6 Years Old,VAUXHALLCROSSLAND X,ELITE,20/09/2018,TradeZone,MANUAL,6500,71.8,3,58613,523.8199999999999
291,AUDI,A3,BLACK,Hatchback,Diesel,AUDIA34 Years OldDIESEL,AUDIA34 Years Old,AUDIA3,BLACK EDITION,11/10/2019,TradeZone,SEMI-AUTO,16050,56.8,3,47699,711.1999999999999
5215,KIA,SPORTAGE,BLUE,SUV,Petrol,KIASPORTAGE4 Years OldPETROL,KIASPORTAGE4 Years Old,KIASPORTAGE,3,30/09/2020,PARTEX,MANUAL,17750,48.233333,2,18381,518.4399999999999
7463,HYUNDAI,I10,TURQUOISE,Hatchback,Petrol,HYUNDAII103 Years OldPETROL,HYUNDAII103 Years Old,HYUNDAII10,SE CONNECT,29/09/2021,TradeZone,MANUAL,9675,41.066667,2,17455,1026.76
680,FORD,FOCUS,WHITE,Hatchback,Diesel,FORDFOCUS8 Years OldDIESEL,FORDFOCUS8 Years Old,FORDFOCUS,TITANIUM,18/05/2016,PARTEX,SEMI-AUTO,5250,105.433333,2,66903,683.884
9858,HONDA,CIVIC,WHITE,Hatchback,Petrol,HONDACIVIC6 Years OldPETROL,HONDACIVIC6 Years Old,HONDACIVIC,SR,31/12/2018,TradeZone,MANUAL,9750,73.6,2,49503,927.27
5934,BMW,4 SERIES GRAN COUPE,BLACK,Hatchback,Petrol,BMW4 SERIES GRAN COUPE6 Years OldPETROL,BMW4 SERIES GRAN COUPE6 Years Old,BMW4 SERIES GRAN COUPE,M SPORT,31/01/2019,TradeZone,SEMI-AUTO,16750,73.3,2,17869,1268.18
5210,MERCEDES-BENZ,A-CLASS,GREY,Hatchback,Diesel,MERCEDES-BENZA-CLASS5 Years OldDIESEL,MERCEDES-BENZA-CLASS5 Years Old,MERCEDES-BENZA-CLASS,AMG LINE,23/11/2018,TradeZone,SEMI-AUTO,14000,70.7,2,43895,962.81
