V_NO,MAKE,MODEL,COLOUR,BODY_TYPE,FUEL_TYPE,MMAF,MMA,MM,VEHICLE_TRIM,REGISTRATION_DATE,VEHICLE_SOURCE,TRANSMISSION_TYPE,CAP_CLEAN,VEHICLE_AGE__MONTHS,REGISTERED_KEEPERS,ODOMETER_MILES,ACTUAL_REFURB_COST
9753,MINI,COUNTRYMAN,GREEN,SUV,Hybrid,MINICOUNTRYMAN5 Years OldPETROLPLUGINELECTRICHYBRID,MINICOUNTRYMAN5 Years Old,MINICOUNTRYMAN,COOPER S E EXCLUSIVE,25/10/2019,TradeZone,SEMI-AUTO,15550,61.8,1,55912,1011.91
5223,FORD,PUMA,BLACK,SUV,Petrol,FORDPUMA4 Years OldPETROL,FORDPUMA4 Years Old,FORDPUMA,ST-LINE X,16/03/2021,TradeZone,MANUAL,15550,48.5,1,7531,773.16
4079,MG,HS,WHITE,SUV,Petrol,MGHS3 Years OldPETROL,MGHS3 Years Old,MGHS,EXCLUSIVE,01/04/2021,OTHER,MANUAL,13100,46.466667,2,18118,269.99
5439,BMW,2 SERIES,ORANGE,Coupe,Petrol,BMW2 SERIES6 Years OldPETROL,BMW2 SERIES6 Years Old,BMW2 SERIES,M SPORT,07/09/2018,TradeZone,MANUAL,11750,73.4,4,29084,515.919
4920,SKODA,OCTAVIA,BLACK,Hatchback,Diesel,SKODAOCTAVIA6 Years OldDIESEL,SKODAOCTAVIA6 Years Old,SKODAOCTAVIA,SE L,20/10/2018,TradeZone,SEMI-AUTO,9550,75.9,2,55984,808.8
9349,VOLVO,XC40,SILVER,SUV,Hybrid,VOLVOXC404 Years OldPETROLPLUGINELECTRICHYBRID,VOLVOXC404 Years Old,VOLVOXC40,INSCRIPTION PRO,05/10/2020,TradeZone,SEMI-AUTO,20300,47.033333,1,61335,851.7819999999999
9122,FORD,PUMA,GREY,SUV,Petrol,FORDPUMA4 Years OldPETROL,FORDPUMA4 Years Old,FORDPUMA,TITANIUM,30/09/2020,TradeZone,MANUAL,11100,51.3,1,30067,319.843
824,FORD,FIESTA,BLACK,Hatchback,Petrol,FORDFIESTA4 Years OldPETROL,FORDFIESTA4 Years Old,FORDFIESTA,TREND,24/09/2020,TradeZone,MANUAL,9875,48.566667,1,30996,421.33
4692,HYUNDAI,I10,BRONZE,Hatchback,Petrol,HYUNDAII103 Years OldPETROL,HYUNDAII103 Years Old,HYUNDAII10,PREMIUM,25/10/2021,OTHER,SEMI-AUTO,13150,38.266667,2,5490,1284.95
187,AUDI,A3,WHITE,Hatchback,Petrol,AUDIA33 Years OldPETROL,AUDIA33 Years Old,AUDIA3,S LINE,24/06/2021,TradeZone,SEMI-AUTO,21050,37.466667,1,15889,312.411
8263,FORD,FIESTA,BLUE,Hatchback,Petrol,FORDFIESTA4 Years OldPETROL,FORDFIESTA4 Years Old,FORDFIESTA,TREND,31/12/2019,TradeZone,MANUAL,9300,55.966667,2,21541,398.014
8848,HONDA,JAZZ,GREY,Hatchback,Petrol,HONDAJAZZ5 Years OldPETROL,HONDAJAZZ5 Years Old,HONDAJAZZ,SPORT,07/03/2019,TradeZone,MANUAL,10350,62.9,4,34770,618.03
3298,KIA,STONIC,GREY,SUV,Petrol,KIASTONIC5 Years OldPETROL,KIASTONIC5 Years Old,KIASTONIC,3,10/04/2019,TradeZone,MANUAL,10450,66.3,2,26603,2711.64
9886,VOLVO,XC40,BLACK,SUV,Diesel,VOLVOXC404 Years OldDIESEL,VOLVOXC404 Years Old,VOLVOXC40,MOMENTUM,04/03/2020,OTHER,MANUAL,16400,50.8,1,37721,760.801
8106,FORD,PUMA,GREY,SUV,Petrol,FORDPUMA3 Years OldPETROL,FORDPUMA3 Years Old,FORDPUMA,ST-LINE X,01/09/2020,TradeZone,MANUAL,13850,45,1,31484,291.71
1507,CITROEN,C5 AIRCROSS,GREY,SUV,Petrol,CITROENC5 AIRCROSS3 Years OldPETROL,CITROENC5 AIRCROSS3 Years Old,CITROENC5 AIRCROSS,SHINE,27/10/2021,OTHER,MANUAL,14600,37.3,2,22386,1125.671
1771,CITROEN,C3,BEIGE,Hatchback,Petrol,CITROENC33 Years OldPETROL,CITROENC33 Years Old,CITROENC3,SHINE PLUS,23/09/2021,TradeZone,MANUAL,9300,42.966667,1,35009,482.74
2213,JEEP,AVENGER,RED,SUV,Petrol,JEEPAVENGERLess than 1 Year OldPETROL,JEEPAVENGERLess than 1 Year Old,JEEPAVENGER,ALTITUDE,30/12/2023,OTHER,MANUAL,21000,7.1,2,4436,1261.1599999999999
843,VOLVO,XC60,SILVER,SUV,Diesel,VOLVOXC606 Years OldDIESEL,VOLVOXC606 Years Old,VOLVOXC60,MOMENTUM,21/11/2018,TradeZone,SEMI-AUTO,18000,70.9,1,51707,9.5
7951,TOYOTA,RAV4,GREY,SUV,Hybrid,TOYOTARAV44 Years OldPETROLELECTRICHYBRID,TOYOTARAV44 Years Old,TOYOTARAV4,EXCEL,09/09/2020,TradeZone,AUTO,19700,46.866667,1,78932,886.63
9645,VOLVO,V90,GREY,Estate,Diesel,VOLVOV907 Years OldDIESEL,VOLVOV907 Years Old,VOLVOV90,R DESIGN,23/03/2018,TradeZone,SEMI-AUTO,15100,79.8,4,59585,793.044
6397,FORD,PUMA,GREY,SUV,Petrol,FORDPUMA3 Years OldPETROL,FORDPUMA3 Years Old,FORDPUMA,ST-LINE X,31/03/2021,TradeZone,MANUAL,14700,39,1,27628,829.18
5991,FORD,FOCUS,BLUE,Hatchback,Diesel,FORDFOCUS5 Years OldDIESEL,FORDFOCUS5 Years Old,FORDFOCUS,ST-LINE,11/11/2019,TradeZone,MANUAL,10650,62.133333,2,36658,593.351
1467,KIA,STINGER,BLUE,Saloon,Petrol,KIASTINGER5 Years OldPETROL,KIASTINGER5 Years Old,KIASTINGER,BLUE EDITION,13/09/2019,TradeZone,AUTO,19100,67.6,3,25295,1155.16
7666,LAND ROVER,RANGE ROVER EVOQUE,WHITE,SUV,Diesel,LAND ROVERRANGE ROVER EVOQUE3 Years OldDIESEL,LAND ROVERRANGE ROVER EVOQUE3 Years Old,LAND ROVERRANGE ROVER EVOQUE,R-DYNAMIC S,22/09/2020,TradeZone,MANUAL,15800,45.133333,2,65627,725.608
299,FORD,FOCUS,WHITE,Hatchback,Diesel,FORDFOCUS3 Years OldDIESEL,FORDFOCUS3 Years Old,FORDFOCUS,ZETEC,03/11/2020,TradeZone,MANUAL,8900,42.666667,1,57179,774.701
1300,VAUXHALL,CORSA,RED,Hatchback,Petrol,VAUXHALLCORSA6 Years OldPETROL,VAUXHALLCORSA6 Years Old,VAUXHALLCORSA,RED EDITION,29/06/2018,TradeZone,MANUAL,7175,74.633333,3,29975,619.39
3323,FORD,FIESTA,BLUE,Hatchback,Petrol,FORDFIESTA4 Years OldPETROL,FORDFIESTA4 Years Old,FORDFIESTA,ST-LINE EDITION,30/06/2020,TradeZone,MANUAL,10300,50.133333,1,37366,494.41
3099,FORD,FIESTA,BLUE,Hatchback,Petrol,FORDFIESTA4 Years OldPETROL,FORDFIESTA4 Years Old,FORDFIESTA,ACTIVE EDITION,31/07/2020,TradeZone,MANUAL,10050,50.533333,1,32681,461.79999999999995
9927,FORD,KUGA,BLACK,SUV,Petrol,FORDKUGA4 Years OldPETROL,FORDKUGA4 Years Old,FORDKUGA,ST-LINE,27/11/2019,TradeZone,MANUAL,11900,55.033333,2,30872,1003.839
2206,MITSUBISHI,OUTLANDER,RED,SUV,Hybrid,MITSUBISHIOUTLANDER5 Years OldPETROLPLUGINELECTRICHYBRID,MITSUBISHIOUTLANDER5 Years Old,MITSUBISHIOUTLANDER,4H,29/11/2019,TradeZone,AUTO,12300,61.733333,2,59295,497.94
7080,FORD,PUMA,GREY,SUV,Petrol,FORDPUMA3 Years OldPETROL,FORDPUMA3 Years Old,FORDPUMA,ST-LINE X,22/12/2021,TradeZone,MANUAL,14500,38.033333,1,19840,1358.65
1566,KIA,CEED,BROWN,Hatchback,Diesel,KIACEED5 Years OldDIESEL,KIACEED5 Years Old,KIACEED,2,27/03/2019,TradeZone,MANUAL,9625,65.3,2,16053,462.84999999999997
1922,FORD,FIESTA,SILVER,Hatchback,Petrol,FORDFIESTA5 Years OldPETROL,FORDFIESTA5 Years Old,FORDFIESTA,TITANIUM X,29/06/2019,TradeZone,MANUAL,11200,63.3,2,16839,311.04
7023,VOLVO,XC40,BLUE,SUV,Hybrid,VOLVOXC404 Years OldPETROLPLUGINELECTRICHYBRID,VOLVOXC404 Years Old,VOLVOXC40,R DESIGN PRO,08/09/2020,TradeZone,SEMI-AUTO,21050,49.066667,1,44531,650.809
632,KIA,CEED,BLACK,Hatchback,Diesel,KIACEED5 Years OldDIESEL,KIACEED5 Years Old,KIACEED,3,06/02/2019,TradeZone,MANUAL,8625,64.166667,1,51218,966.405
6016,VOLVO,XC90,WHITE,SUV,Diesel,VOLVOXC906 Years OldDIESEL,VOLVOXC906 Years Old,VOLVOXC90,MOMENTUM PRO,29/08/2017,TradeZone,SEMI-AUTO,22600,81.5,2,48458,493.05
2132,BMW,3 SERIES,BLUE,Saloon,Petrol,BMW3 SERIES3 Years OldPETROL,BMW3 SERIES3 Years Old,BMW3 SERIES,M SPORT,29/03/2021,TradeZone,SEMI-AUTO,21550,42.266667,2,27032,232.88
2135,FORD,PUMA,SILVER,SUV,Petrol,FORDPUMA3 Years OldPETROL,FORDPUMA3 Years Old,FORDPUMA,ST-LINE X,31/03/2021,TradeZone,MANUAL,15650,38.533333,1,21596,655.294
5666,FORD,FOCUS,BLACK,Hatchback,Petrol,FORDFOCUS5 Years OldPETROL,FORDFOCUS5 Years Old,FORDFOCUS,ST-LINE,30/09/2019,TradeZone,MANUAL,10400,63.466667,4,26304,681.69
6890,AUDI,A3,RED,Hatchback,Petrol,AUDIA34 Years OldPETROL,AUDIA34 Years Old,AUDIA3,S LINE,02/12/2020,TradeZone,MANUAL,18750,52.466667,1,17542,284.569
3218,MITSUBISHI,OUTLANDER,WHITE,SUV,Hybrid,MITSUBISHIOUTLANDER3 Years OldPETROLPLUGINELECTRICHYBRID,MITSUBISHIOUTLANDER3 Years Old,MITSUBISHIOUTLANDER,DYNAMIC,23/04/2021,TradeZone,AUTO,15150,43.6,1,47590,633.75
6754,AUDI,A3,GREY,Hatchback,Petrol,AUDIA34 Years OldPETROL,AUDIA34 Years Old,AUDIA3,S LINE,19/11/2020,TradeZone,SEMI-AUTO,18300,48.233333,1,24640,835.51
1592,FORD,FIESTA,BLUE,Hatchback,Petrol,FORDFIESTA3 Years OldPETROL,FORDFIESTA3 Years Old,FORDFIESTA,ACTIVE EDITION,31/12/2020,TradeZone,MANUAL,12200,43.9,1,12950,464.7
2143,FORD,KUGA,BLUE,SUV,Diesel,FORDKUGA5 Years OldDIESEL,FORDKUGA5 Years Old,FORDKUGA,ST-LINE EDITION,30/06/2019,TradeZone,MANUAL,12550,64.066667,2,51111,1332.826
8081,KIA,PICANTO,RED,Hatchback,Petrol,KIAPICANTO3 Years OldPETROL,KIAPICANTO3 Years Old,KIAPICANTO,GT-LINE,14/09/2021,TradeZone,AUTO,12200,34.166667,3,10645,1095.2
1207,MAZDA,CX-30,SILVER,SUV,Petrol,MAZDACX-304 Years OldPETROL,MAZDACX-304 Years Old,MAZDACX-30,SE-L,23/06/2020,OTHER,MANUAL,12450,49.2,2,24585,648.133
9206,FORD,PUMA,BLUE,SUV,Petrol,FORDPUMA3 Years OldPETROL,FORDPUMA3 Years Old,FORDPUMA,ST-LINE X,31/03/2021,TradeZone,MANUAL,15050,39.133333,1,22999,221.59
92,FORD,PUMA,GREY,SUV,Petrol,FORDPUMA3 Years OldPETROL,FORDPUMA3 Years Old,FORDPUMA,ST-LINE X,31/03/2021,TradeZone,MANUAL,15150,39.466667,1,28122,515.949
1951,MERCEDES-BENZ,E-CLASS,BLACK,Saloon,Diesel,MERCEDES-BENZE-CLASS5 Years OldDIESEL,MERCEDES-BENZE-CLASS5 Years Old,MERCEDES-BENZE-CLASS,AMG LINE,26/09/2019,TradeZone,SEMI-AUTO,22450,64.1,3,39369,829.9399999999999
2970,FORD,KUGA,BLACK,SUV,Petrol,FORDKUGA4 Years OldPETROL,FORDKUGA4 Years Old,FORDKUGA,ST-LINE,30/09/2019,TradeZone,MANUAL,12500,56.366667,2,30054,640.7629999999999
1985,VOLVO,XC40,BLACK,SUV,Hybrid,VOLVOXC403 Years OldPETROLPLUGINELECTRICHYBRID,VOLVOXC403 Years Old,VOLVOXC40,R DESIGN PRO,14/09/2020,TradeZone,SEMI-AUTO,23350,44.633333,1,30463,723.62
6267,FORD,FIESTA,BLACK,Hatchback,Petrol,FORDFIESTA3 Years OldPETROL,FORDFIESTA3 Years Old,FORDFIESTA,TREND,01/10/2021,TradeZone,MANUAL,10950,37.766667,1,10420,345.25
277,TOYOTA,YARIS,WHITE,Hatchback,Hybrid,TOYOTAYARIS3 Years OldPETROLELECTRICHYBRID,TOYOTAYARIS3 Years Old,TOYOTAYARIS,DYNAMIC,22/10/2021,TradeZone,AUTO,15250,36.833333,1,25663,1025.759
6846,FORD,FOCUS,SILVER,Hatchback,Petrol,FORDFOCUS3 Years OldPETROL,FORDFOCUS3 Years Old,FORDFOCUS,ST-LINE EDITION,03/03/2021,TradeZone,MANUAL,11500,38.9,1,49819,532.462
2002,FORD,KUGA,GREY,SUV,Diesel,FORDKUGA2 Years OldDIESEL,FORDKUGA2 Years Old,FORDKUGA,ST-LINE EDITION,20/05/2022,TradeZone,MANUAL,18250,24.966667,1,17663,935.8100000000001
3771,FORD,FOCUS,BLUE,Hatchback,Petrol,FORDFOCUS4 Years OldPETROL,FORDFOCUS4 Years Old,FORDFOCUS,ST-LINE X,31/12/2019,TradeZone,MANUAL,12500,54.8,2,24819,1301.07
2151,VOLVO,XC40,GREY,SUV,Hybrid,VOLVOXC403 Years OldPETROLPLUGINELECTRICHYBRID,VOLVOXC403 Years Old,VOLVOXC40,R DESIGN,14/12/2021,TradeZone,SEMI-AUTO,21400,37.1,1,26287,457.78999999999996
5513,CITROEN,C3,BEIGE,Hatchback,Petrol,CITROENC33 Years OldPETROL,CITROENC33 Years Old,CITROENC3,FLAIR PLUS,16/11/2020,TradeZone,MANUAL,7325,42.466667,2,67521,236.18
4522,PEUGEOT,5008,WHITE,SUV,Petrol,PEUGEOT50083 Years OldPETROL,PEUGEOT50083 Years Old,PEUGEOT5008,ACTIVE PREMIUM,13/10/2021,OTHER,MANUAL,15650,42.033333,2,35642,519.381
9315,FORD,ECOSPORT,BEIGE,SUV,Petrol,FORDECOSPORT4 Years OldPETROL,FORDECOSPORT4 Years Old,FORDECOSPORT,TITANIUM,31/05/2019,OTHER,MANUAL,9550,60.3,3,27165,665.8199999999999
6061,VAUXHALL,ADAM,BLUE,Hatchback,Petrol,VAUXHALLADAM8 Years OldPETROL,VAUXHALLADAM8 Years Old,VAUXHALLADAM,ENERGISED,18/03/2017,PARTEX,MANUAL,5150,93.533333,4,37714,262.72499999999997
4205,CITROEN,C3,WHITE,Hatchback,Petrol,CITROENC36 Years OldPETROL,CITROENC36 Years Old,CITROENC3,ORIGINS,25/03/2019,TradeZone,MANUAL,6700,72.6,2,28239,471.57
6534,AUDI,A3,BLACK,Hatchback,Petrol,AUDIA34 Years OldPETROL,AUDIA34 Years Old,AUDIA3,SPORT,23/10/2020,TradeZone,SEMI-AUTO,19450,47.266667,1,12305,1109.22
2750,SEAT,ARONA,ORANGE,SUV,Petrol,SEATARONA4 Years OldPETROL,SEATARONA4 Years Old,SEATARONA,XCELLENCE LUX,10/03/2020,TradeZone,SEMI-AUTO,12450,50.733333,2,31398,275.68
4654,DACIA,LOGAN MCV STEPWAY,WHITE,Estate,Petrol,DACIALOGAN MCV STEPWAY5 Years OldPETROL,DACIALOGAN MCV STEPWAY5 Years Old,DACIALOGAN MCV STEPWAY,COMFORT,30/01/2019,TradeZone,MANUAL,5775,69.766667,2,32416,886.5899999999999
333,ALFA ROMEO,GIULIA,RED,Saloon,Diesel,ALFA ROMEOGIULIA4 Years OldDIESEL,ALFA ROMEOGIULIA4 Years Old,ALFA ROMEOGIULIA,SUPER,02/10/2019,TradeZone,SEMI-AUTO,12750,59.5,2,34667,278.315
582,KIA,SPORTAGE,BLACK,SUV,Diesel,KIASPORTAGE6 Years OldDIESEL,KIASPORTAGE6 Years Old,KIASPORTAGE,GT-LINE,21/09/2018,TradeZone,MANUAL,9250,75.466667,3,52537,484.185
5162,VOLKSWAGEN,GOLF,SILVER,Hatchback,Petrol,VOLKSWAGENGOLF5 Years OldPETROL,VOLKSWAGENGOLF5 Years Old,VOLKSWAGENGOLF,R-LINE,19/12/2018,TradeZone,SEMI-AUTO,15050,67.433333,3,36013,521.471
2240,VOLVO,XC40,BLACK,SUV,Petrol,VOLVOXC404 Years OldPETROL,VOLVOXC404 Years Old,VOLVOXC40,INSCRIPTION,29/01/2021,TradeZone,MANUAL,17600,48.966667,1,39245,1357.305
6113,VOLVO,V90,BLACK,Estate,Petrol,VOLVOV904 Years OldPETROL,VOLVOV904 Years Old,VOLVOV90,MOMENTUM PLUS,27/05/2020,TradeZone,SEMI-AUTO,20050,48.933333,1,23355,711.29
5648,TOYOTA,AYGO,GREY,Hatchback,Petrol,TOYOTAAYGO3 Years OldPETROL,TOYOTAAYGO3 Years Old,TOYOTAAYGO,JBL EDITION,04/11/2020,TradeZone,SEMI-AUTO,11000,46.033333,1,24665,621.85
5053,FIAT,500C,BLUE,Convertible,Petrol,FIAT500C1 Years OldPETROL,FIAT500C1 Years Old,FIAT500C,,30/09/2023,TradeZone,MANUAL,12550,11.5,1,32,369.68
4839,MINI,HATCHBACK,GREY,Hatchback,Petrol,MINIHATCHBACK3 Years OldPETROL,MINIHATCHBACK3 Years Old,MINIHATCHBACK,COOPER CLASSIC,14/09/2020,TradeZone,SEMI-AUTO,14100,46,1,19311,639.252
900,FIAT,500C,GREY,Convertible,Petrol,FIAT500C1 Years OldPETROL,FIAT500C1 Years Old,FIAT500C,,30/09/2023,TradeZone,MANUAL,12550,11.5,1,30,1136.802
1573,MG,MG3,BLACK,Hatchback,Petrol,MGMG32 Years OldPETROL,MGMG32 Years Old,MGMG3,EXCLUSIVE,09/09/2022,TradeZone,MANUAL,9050,24.933333,2,13566,411.72999999999996
2930,VAUXHALL,ASTRA,WHITE,Hatchback,Petrol,VAUXHALLASTRA6 Years OldPETROL,VAUXHALLASTRA6 Years Old,VAUXHALLASTRA,SRI NAV,19/06/2018,TradeZone,MANUAL,7250,74.166667,3,20540,1287.033
1888,DACIA,LOGAN MCV,BLUE,Estate,Petrol,DACIALOGAN MCV5 Years OldPETROL,DACIALOGAN MCV5 Years Old,DACIALOGAN MCV,ESSENTIAL,12/03/2019,TradeZone,MANUAL,5050,65.4,2,25409,472.19
1898,SEAT,IBIZA,BLUE,Hatchback,Diesel,SEATIBIZA4 Years OldDIESEL,SEATIBIZA4 Years Old,SEATIBIZA,FR,25/03/2020,TradeZone,MANUAL,10050,55.066667,4,41254,673.88
304,MG,ZS,ORANGE,SUV,Petrol,MGZS4 Years OldPETROL,MGZS4 Years Old,MGZS,EXCLUSIVE,20/12/2019,PARTEX,SEMI-AUTO,10450,53.5,3,29669,669.24
1160,BMW,2 SERIES GRAN COUPE,WHITE,Saloon,Petrol,BMW2 SERIES GRAN COUPE4 Years OldPETROL,BMW2 SERIES GRAN COUPE4 Years Old,BMW2 SERIES GRAN COUPE,M SPORT,18/12/2020,TradeZone,SEMI-AUTO,13300,49.4,1,79880,482.54499999999996
2397,VOLVO,XC40,GREY,SUV,Petrol,VOLVOXC403 Years OldPETROL,VOLVOXC403 Years Old,VOLVOXC40,R DESIGN,08/02/2021,TradeZone,MANUAL,16550,42.566667,1,72282,564.324
5747,VAUXHALL,MOKKA X,BLUE,SUV,Petrol,VAUXHALLMOKKA X6 Years OldPETROL,VAUXHALLMOKKA X6 Years Old,VAUXHALLMOKKA X,ACTIVE,28/06/2018,TradeZone,MANUAL,7275,79.7,1,21799,357.783
8851,BMW,2 SERIES GRAN COUPE,BLUE,Saloon,Petrol,BMW2 SERIES GRAN COUPE3 Years OldPETROL,BMW2 SERIES GRAN COUPE3 Years Old,BMW2 SERIES GRAN COUPE,M SPORT,22/10/2021,TradeZone,MANUAL,19200,34.766667,1,19224,652.63
8873,FORD,KA+,GREY,Hatchback,Petrol,FORDKA+6 Years OldPETROL,FORDKA+6 Years Old,FORDKA+,ZETEC,15/08/2018,TradeZone,MANUAL,6300,78.9,2,32500,534.0899999999999
8145,VOLVO,XC60,GREY,SUV,Petrol,VOLVOXC604 Years OldPETROL,VOLVOXC604 Years Old,VOLVOXC60,R DESIGN,20/07/2020,TradeZone,SEMI-AUTO,19850,50.033333,2,78826,1245.07
7969,HYUNDAI,I10,BLUE,Hatchback,Petrol,HYUNDAII107 Years OldPETROL,HYUNDAII107 Years Old,HYUNDAII10,S,24/12/2016,TradeZone,MANUAL,4325,95.1,1,29218,702.5699999999999
3183,HYUNDAI,I10,RED,Hatchback,Petrol,HYUNDAII107 Years OldPETROL,HYUNDAII107 Years Old,HYUNDAII10,S,23/02/2018,PARTEX,MANUAL,3975,84.333333,2,61407,1269.1399999999999
9957,LEXUS,NX,SILVER,SUV,Hybrid,LEXUSNX5 Years OldPETROLELECTRICHYBRID,LEXUSNX5 Years Old,LEXUSNX,,30/09/2019,PARTEX,AUTO,20350,60.533333,3,57752,604.38
4943,VOLVO,S90,GREY,Saloon,Petrol,VOLVOS904 Years OldPETROL,VOLVOS904 Years Old,VOLVOS90,MOMENTUM PLUS,30/09/2020,TradeZone,SEMI-AUTO,17450,49.266667,1,27840,868
1,VOLVO,XC40,BLACK,SUV,Petrol,VOLVOXC403 Years OldPETROL,VOLVOXC403 Years Old,VOLVOXC40,MOMENTUM,30/09/2020,TradeZone,MANUAL,17550,45.433333,1,27554,850.5699999999999
1491,VOLVO,XC40,RED,SUV,Hybrid,VOLVOXC404 Years OldPETROLPLUGINELECTRICHYBRID,VOLVOXC404 Years Old,VOLVOXC40,R DESIGN,22/12/2020,TradeZone,SEMI-AUTO,17800,49.5,1,44410,840.9
5566,FIAT,500C,RED,Convertible,Petrol,FIAT500CLess than 1 Year OldPETROL,FIAT500CLess than 1 Year Old,FIAT500C,,30/09/2023,TradeZone,MANUAL,12550,11.5,1,34,598.66
1996,VAUXHALL,CORSA,BLUE,Hatchback,Petrol,VAUXHALLCORSA3 Years OldPETROL,VAUXHALLCORSA3 Years Old,VAUXHALLCORSA,SE,25/11/2021,TradeZone,MANUAL,8775,38.933333,1,29243,1468.891
9625,HYUNDAI,TUCSON,BLUE,SUV,Petrol,HYUNDAITUCSONLess than 1 Year OldPETROL,HYUNDAITUCSONLess than 1 Year Old,HYUNDAITUCSON,SE CONNECT,10/10/2023,OTHER,MANUAL,21750,6.966667,1,4076,461.46
6312,LAND ROVER,RANGE ROVER EVOQUE,BLACK,SUV,Diesel,LAND ROVERRANGE ROVER EVOQUE8 Years OldDIESEL,LAND ROVERRANGE ROVER EVOQUE8 Years Old,LAND ROVERRANGE ROVER EVOQUE,SE,01/09/2016,TradeZone,AUTO,9400,93.933333,2,53712,680.329
8398,AUDI,Q2,WHITE,SUV,Diesel,AUDIQ24 Years OldDIESEL,AUDIQ24 Years Old,AUDIQ2,SPORT,25/07/2019,TradeZone,MANUAL,12450,58.6,2,38071,769.58
391,FORD,FOCUS,BLACK,Hatchback,Petrol,FORDFOCUS7 Years OldPETROL,FORDFOCUS7 Years Old,FORDFOCUS,ST-LINE,05/06/2017,PARTEX,MANUAL,5650,84.966667,3,53374,305.615
2505,FORD,FOCUS,BLACK,Hatchback,Petrol,FORDFOCUS7 Years OldPETROL,FORDFOCUS7 Years Old,FORDFOCUS,Titanium                                          ,29/03/2017,TradeZone,MANUAL,4825,90.6,2,35336,884.386
6099,MINI,CONVERTIBLE,BLUE,Convertible,Petrol,MINICONVERTIBLE6 Years OldPETROL,MINICONVERTIBLE6 Years Old,MINICONVERTIBLE,COOPER,05/03/2018,PARTEX,SEMI-AUTO,12700,78.2,2,14961,737.2280000000001
3585,SUZUKI,SWIFT,RED,Hatchback,Petrol,SUZUKISWIFT5 Years OldPETROL,SUZUKISWIFT5 Years Old,SUZUKISWIFT,ATTITUDE,30/12/2019,TradeZone,MANUAL,7450,59.866667,2,34110,596.88
5695,FORD,FIESTA,BLUE,Hatchback,Petrol,FORDFIESTA5 Years OldPETROL,FORDFIESTA5 Years Old,FORDFIESTA,ZETEC,01/03/2019,TradeZone,MANUAL,7550,69.266667,2,33025,436.24
5080,HONDA,HONDA E,BLUE,Hatchback,Electric,HONDAHONDA E3 Years OldELECTRIC,HONDAHONDA E3 Years Old,HONDAHONDA E,ADVANCE,22/06/2021,TradeZone,AUTO,14250,36.866667,2,16841,437.06
4001,VOLVO,XC90,SILVER,SUV,Diesel,VOLVOXC908 Years OldDIESEL,VOLVOXC908 Years Old,VOLVOXC90,R DESIGN,03/03/2016,TradeZone,SEMI-AUTO,21250,106.933333,2,50686,613.115
9961,RENAULT,CAPTUR,GREY,SUV,Petrol,RENAULTCAPTUR3 Years OldPETROL,RENAULTCAPTUR3 Years Old,RENAULTCAPTUR,S EDITION,21/07/2021,OTHER,SEMI-AUTO,14850,37.166667,2,17248,426.92
2237,LAND ROVER,RANGE ROVER EVOQUE,BLACK,SUV,Diesel,LAND ROVERRANGE ROVER EVOQUE4 Years OldDIESEL,LAND ROVERRANGE ROVER EVOQUE4 Years Old,LAND ROVERRANGE ROVER EVOQUE,,10/03/2020,TradeZone,MANUAL,15050,51.6,1,27792,1348.93
4039,AUDI,Q2,BLUE,SUV,Petrol,AUDIQ26 Years OldPETROL,AUDIQ26 Years Old,AUDIQ2,SE,23/01/2019,TradeZone,SEMI-AUTO,11700,72.733333,2,40243,738.72
6776,PEUGEOT,108,BLACK,Hatchback,Petrol,PEUGEOT1086 Years OldPETROL,PEUGEOT1086 Years Old,PEUGEOT108,ACCESS,26/09/2017,TradeZone,MANUAL,3600,81.933333,2,42343,1224.128
8404,VAUXHALL,GRANDLAND X,BLACK,SUV,Diesel,VAUXHALLGRANDLAND X5 Years OldDIESEL,VAUXHALLGRANDLAND X5 Years Old,VAUXHALLGRANDLAND X,TECH LINE NAV,14/03/2019,TradeZone,MANUAL,10150,65.8,2,27915,251.981
6759,DACIA,DUSTER,BLUE,SUV,Petrol,DACIADUSTER5 Years OldPETROL,DACIADUSTER5 Years Old,DACIADUSTER,ESSENTIAL,28/09/2018,TradeZone,MANUAL,7250,71.8,3,31943,486.69
9419,SEAT,ARONA,GREY,SUV,Petrol,SEATARONA4 Years OldPETROL,SEATARONA4 Years Old,SEATARONA,FR SPORT,16/09/2020,TradeZone,MANUAL,12350,48.933333,1,26999,383.51
1316,VAUXHALL,CORSA-E,GREY,Hatchback,Electric,VAUXHALLCORSA-E3 Years OldELECTRIC,VAUXHALLCORSA-E3 Years Old,VAUXHALLCORSA-E,ELITE NAV PREMIUM,12/02/2021,OTHER,AUTO,11100,39.3,1,23044,586.1
4390,KIA,SPORTAGE,BLACK,SUV,Diesel,KIASPORTAGE4 Years OldDIESEL,KIASPORTAGE4 Years Old,KIASPORTAGE,GT-LINE S,08/12/2020,TradeZone,AUTO,17600,48.966667,1,39532,520.23
2883,FORD,FIESTA,BLACK,Hatchback,Petrol,FORDFIESTA6 Years OldPETROL,FORDFIESTA6 Years Old,FORDFIESTA,TITANIUM,30/03/2018,TradeZone,MANUAL,7650,84.666667,3,34936,987.283
5811,VOLKSWAGEN,GOLF,GREY,Hatchback,Petrol,VOLKSWAGENGOLF7 Years OldPETROL,VOLKSWAGENGOLF7 Years Old,VOLKSWAGENGOLF,SE,09/03/2018,TradeZone,SEMI-AUTO,11100,85.533333,4,54797,236.243
